iter	RMSE
0	18.05843561
1	17.91961184
2	17.782522
3	17.65070658
4	17.52038355
5	17.39161246
6	17.27226171
7	17.15708429
8	17.04075793
9	16.92720685
10	16.82072262
11	16.72268126
12	16.61408701
13	16.51693356
14	16.41753962
15	16.32429281
16	16.23446363
17	16.14142175
18	16.05657127
19	15.9729505
20	15.89713778
21	15.81837705
22	15.74379816
23	15.66569427
24	15.59066734
25	15.52018883
26	15.45982222
27	15.39001155
28	15.32834887
29	15.27093818
30	15.21611167
31	15.15781413
32	15.10311735
33	15.04863056
34	14.98577935
35	14.9355745
36	14.88685349
37	14.83085703
38	14.78431855
39	14.74232929
40	14.69832655
41	14.656714
42	14.61330116
43	14.57179256
44	14.52242178
45	14.48605411
46	14.45274289
47	14.41917222
48	14.375473
49	14.33632538
50	14.30325104
51	14.26296704
52	14.23144754
53	14.19061692
54	14.1608111
55	14.13582085
56	14.09805066
57	14.07234588
58	14.0363895
59	14.01067515
60	13.97509686
61	13.93934862
62	13.9049208
63	13.86925348
64	13.83866061
65	13.81022109
66	13.78550671
67	13.75434319
68	13.73114305
69	13.70419591
70	13.68254239
71	13.66306555
72	13.64789812
73	13.62797539
74	13.60389794
75	13.57854204
76	13.56020132
77	13.53675439
78	13.51683329
79	13.50260393
80	13.4870362
81	13.47162102
82	13.45199443
83	13.4346195
84	13.41547371
85	13.40031325
86	13.38791184
87	13.36474077
88	13.34512401
89	13.3298113
90	13.31749925
91	13.30810897
92	13.2933051
93	13.28048101
94	13.26136795
95	13.24303308
96	13.22914904
97	13.21615534
98	13.20372189
99	13.1860616
100	13.17843522
101	13.1690387
102	13.14974244
103	13.13893925
104	13.12971302
105	13.11556467
106	13.10301353
107	13.08999692
108	13.07780226
109	13.06453834
110	13.05070359
111	13.03953738
112	13.02576065
113	13.01273882
114	12.9998127
115	12.98867751
116	12.97327071
117	12.9655566
118	12.95852557
119	12.95019653
120	12.94345762
121	12.93217397
122	12.92531844
123	12.91640001
124	12.90999356
125	12.89791452
126	12.88850546
127	12.87981384
128	12.87080606
129	12.86048859
130	12.8473615
131	12.84109961
132	12.82893404
133	12.81981193
134	12.81189555
135	12.80433837
136	12.7937772
137	12.786417
138	12.77640425
139	12.76781315
140	12.76040912
141	12.75054302
142	12.74389495
143	12.73846625
144	12.73156511
145	12.72131064
146	12.71414152
147	12.70618314
148	12.69783565
149	12.68658195
150	12.68207671
151	12.67182342
152	12.6641481
153	12.65761203
154	12.65243922
155	12.64539928
156	12.6376277
157	12.62866664
158	12.62234219
159	12.61207098
160	12.60593366
161	12.59999028
162	12.59230459
163	12.58931886
164	12.58200668
165	12.57596115
166	12.56909468
167	12.56430398
168	12.55642158
169	12.5506311
170	12.54778104
171	12.54250936
172	12.53664824
173	12.53419622
174	12.53019359
175	12.52258701
176	12.51564032
177	12.50889668
178	12.50134445
179	12.49540689
